fantrax_label,definition,alignment_status,formula,required_schema_columns,unavailable_reason,notes
"Special Teams Points 2","Power Play Points + (Short-Handed Points x 2)","formula","ppp + (2 * pkp)","ppp,pkp","",""
"Special Teams Points 3","Power Play Points + Short-Handed Points + Shootout Goals","formula","ppp + pkp + shog","ppp,pkp,shog","",""
"Special Teams Points 4","Power Play Points + (Short-Handed Points x 5)","formula","ppp + (5 * pkp)","ppp,pkp","",""
"Stars","(1st Stars x 3) + (2nd Stars x 2) + 3rd Stars","ignored_deprecated","","","","Ignored by product decision."
"Takeaway/Giveaway Ratio","","formula","CASE WHEN gv > 0 THEN tk / gv WHEN tk > 0 THEN 1 ELSE 0 END","tk,gv","",""
"Takeaways","","direct","tk","tk","",""
"Takeaways - Giveaways","Net Takeaways, calculated by subtracting Giveaways from Takeaways","direct","tkvgv","tkvgv","","Stored net takeaway/giveaway value can be used directly."
"Takeaways Per Game","","formula","tk / gp","tk,gp","",""
"Time On Ice","Time On Ice for Skaters and Goalies","direct","toi","toi","",""
"Time On Ice","Time On Ice for Skaters only","direct","toi","toi","","Duplicate Fantrax label; same alignment."
"Time On Ice - Even Strength","Even Strength (TOIES)","planned_derivation","SUM(toi WHERE strength = 'EV')","toi,strength","","Individual on-ice strength summaries store toi by strength."
"Time On Ice - Power Play","Power Play (TOIPP)","planned_derivation","SUM(toi WHERE strength = 'PP')","toi,strength","","Individual on-ice strength summaries store toi by strength."
"Time On Ice - Short-Handed","Short-Handed (TOISH)","planned_derivation","SUM(toi WHERE strength = 'PK')","toi,strength","","Individual on-ice strength summaries store toi by strength."
"Time On Ice Per Game","","formula","toi / gp","toi,gp","",""
"Time On Ice Per Game - Even Strength","Even Strength (TOIES)","planned_derivation","SUM(toi WHERE strength = 'EV') / gp","toi,strength,gp","","Individual on-ice strength summaries store toi by strength."
"Time On Ice Per Game - Power Play","Power Play (TOIPP)","planned_derivation","SUM(toi WHERE strength = 'PP') / gp","toi,strength,gp","","Individual on-ice strength summaries store toi by strength."
"Time On Ice Per Game - Short-Handed","Short-Handed (TOISH)","planned_derivation","SUM(toi WHERE strength = 'PK') / gp","toi,strength,gp","","Individual on-ice strength summaries store toi by strength."
"Time On Ice Per Game 2","(Time On Ice + .5 x Short-Handed Time On Ice) / Games Played for Skaters","planned_derivation","(toi + (0.5 * pk_toi)) / gp","toi,pk_toi,gp","","Requires short-handed TOI derivation."
"Time On Ice Short-Handed per Power Play Goal Against","Short-Handed Time on Ice per Goals Against (while the skater is on the ice short-handed).","planned_derivation","pk_toi / pp_ga_on_ice","pk_toi,pp_ga_on_ice","","Requires short-handed TOI and power-play goals-against while on ice derivations."
"Truculence","Hits + Blocks + Penalty Minutes","formula","h + b + pim","h,b,pim","",""
"True Shooting %","Goals / (Shots on Goal + Missed Shots + Shots Blocked)","direct","sat_p","sat_p","","sat_p is goals divided by shot attempts."
"Win Percentage","(Wins + (0.5 x Overtime Losses) + (0.5 x Shootout Losses)) / (Wins + Losses + Overtime Losses + Shootout Losses)","formula","(wins + (0.5 * ot_losses) + (0.5 * shootout_losses)) / (wins + losses + ot_losses + shootout_losses)","wins,losses,ot_losses,shootout_losses","","Goalie category."
"Win/Loss Points","Wins + (Overtime Losses x .50) + (Shootout Losses x .50) + (Overtime Wins x .50) + Shootout Wins","formula","wins + (0.5 * ot_losses) + (0.5 * shootout_losses) + (0.5 * overtime_wins) + shootout_wins","wins,ot_losses,shootout_losses,overtime_wins,shootout_wins","","Goalie category."
"Wins","Includes Overtime Wins and Shootout Wins. For skaters, the player gets credit for the win if he is on his NHL team's official Active roster, or suspended, but not if he is on the NHL Injury Reserve.","direct","wins","wins","","Goalie category only; skater wins are ignored."
"Wins (Goalies only)","Includes Overtime Wins and Shootout Wins. Skaters cannot get a win using this category - for that - use the regular Wins category.","direct","wins","wins","","Goalie category."
"Wins 2","Wins + (1/3 x Shootout Losses)","formula","wins + ((1 / 3) * shootout_losses)","wins,shootout_losses","","Goalie category."
"Zone Starts %","Zone Starts Offensive / (Zone Starts Offensive + Zone Starts Defensive)","formula","ozs / (ozs + dzs)","ozs,dzs","","Individual on-ice strength summaries store zone starts."
"Zone Starts - Defensive","Number of faceoffs taken in the defensive zone [by team when player is on ice]","direct","dzs","dzs","","Individual on-ice strength summaries store zone starts."
"Zone Starts - Offensive","Number of faceoffs taken in the offensive zone [by team when player is on ice]","direct","ozs","ozs","","Individual on-ice strength summaries store zone starts."
